"OrthoGroup","# Species","Genes","Alg.-Conn.","L_infantum.fasta","L_major.fasta","L_mexicana.fasta"
"OrthoGroup_1",3,9,0.638,"LINF_350023700,LINF_350023800,LINF_350023900","LmjF.35.1880,LmjF.35.1890,LmjF.35.1900","LmxM.34.1880,LmxM.34.1890,LmxM.34.1900"
"OrthoGroup_2",3,9,0.635,"LINF_090015400,LINF_090015500,LINF_090015600","LmjF.09.0910,LmjF.09.0920,LmjF.09.0930","LmxM.09.0910,LmxM.09.0920,LmxM.09.0930"
"OrthoGroup_3",3,9,0.524,"LINF_300030100,LINF_300030200,LINF_300030600","LmjF.30.2470,LmjF.30.2480,LmjF.30.2490,LmjF.30.2550","LmxM.29.2490,LmxM.29.2550"
"OrthoGroup_4",3,9,0.478,"LINF_270012700,LINF_310008600,LINF_310008700","LmjF.31.0330,LmjF.31.0340,LmjF.27.0670","LmxM.27.0670,LmxM.30.0330,LmxM.30.0340"
"OrthoGroup_5",3,9,0.441,"LINF_040006600,LINF_040006700,LINF_040006800","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","LmxM.04.0130"
"OrthoGroup_6",3,9,0.288,"LINF_340024500,LINF_340024600,LINF_340024800","LmjF.36.1270,LmjF.34.1900,LmjF.34.1560,LmjF.34.1740","LmxM.33.1720a,LmxM.33.1980"
"OrthoGroup_7",3,9,0.214,"LINF_300021400","LmjF.30.1622,LmjF.30.1627,LmjF.30.1632,LmjF.30.1637,LmjF.30.1642,LmjF.30.1647,LmjF.30.1655","LmxM.29.1622"
"OrthoGroup_8",3,9,0.213,"LINF_300021500","LmjF.30.1625,LmjF.30.1630,LmjF.30.1635,LmjF.30.1640,LmjF.30.1645,LmjF.30.1650,LmjF.30.1660","LmxM.29.1625"
"OrthoGroup_9",3,9,0.111,"LINF_340051300","LmjF.34.4360,LmjF.34.4390,LmjF.34.4420,LmjF.34.4450,LmjF.34.4480,LmjF.34.4510,LmjF.34.4330","LmxM.33.4330"
"OrthoGroup_10",3,8,0.605,"LINF_350009200,LINF_350009300","LmjF.35.0400,LmjF.35.0410,LmjF.35.0420","LmxM.34.0400,LmxM.34.0400a,LmxM.34.0400b"
